rmaNumber,orderNumber,customerNumber,requestDate,approvedDate,returnedDate,resolvedDate,reason,status,refundAmount,comments
RMA-00249,15722,24428,2022-07-12,,,,Defective Product,Rejected,0.0,Forwarded to quality control.
RMA-00250,17314,20509,2022-03-14,2022-03-16,2022-03-21,,Defective Product,Received,60.24,
RMA-00251,16609,22989,2022-10-24,2022-10-25,,,Not as Described,Approved,34.72,Second review requested.
RMA-00252,15392,21586,2024-10-21,2024-10-25,2024-11-05,,Duplicate Order,Received,622.19,
RMA-00253,13894,21119,2025-06-29,,,,Packaging Damaged,Pending,0.0,
RMA-00254,13423,21097,2024-01-07,2024-01-10,2024-01-19,2024-01-24,Not as Described,Completed,247.94,
RMA-00255,16266,23798,2022-05-20,2022-05-23,,,Item Arrived Too Late,Approved,177.44,Awaiting return shipment.
RMA-00256,17021,20539,2026-03-12,2026-03-13,,,Changed Mind,Approved,55.87,Item received and inspected.
RMA-00257,18005,23997,2024-09-14,,,,Item Arrived Too Late,Pending,0.0,Refund issued to original payment method.
RMA-00258,11930,24429,2024-09-26,,,,Missing Parts,Rejected,0.0,Customer provided photos of damage.
RMA-00259,11701,24123,2022-07-21,2022-07-25,2022-08-02,,Changed Mind,Received,21.33,
RMA-00260,11525,22408,2023-02-22,2023-02-27,2023-03-05,2023-03-12,Damaged in Shipping,Completed,39.03,Awaiting return shipment.
RMA-00261,18758,22083,2024-10-30,,,,Defective Product,Rejected,0.0,
RMA-00262,19026,21025,2022-02-24,2022-02-26,,,Missing Parts,Approved,102.61,
RMA-00263,19254,23841,2026-06-30,2026-07-04,,,Quality Not Acceptable,Approved,446.97,Item received and inspected.
RMA-00264,12674,22932,2024-05-22,2024-05-23,,,Quality Not Acceptable,Approved,1132.68,
RMA-00265,20153,24237,2025-04-06,,,,Duplicate Order,Rejected,0.0,Second review requested.
RMA-00266,20083,24441,2026-02-03,,,,Wrong Item Shipped,Rejected,0.0,Replacement sent instead of refund.
RMA-00267,12162,20107,2022-09-12,2022-09-16,2022-09-22,2022-09-24,Item Arrived Too Late,Completed,88.43,
RMA-00268,18838,22182,2024-04-29,2024-05-01,2024-05-15,,Quality Not Acceptable,Received,1075.84,
RMA-00269,13109,20920,2025-12-02,2025-12-04,2025-12-15,2025-12-19,Missing Parts,Completed,106.43,
RMA-00270,19526,23789,2025-11-02,,,,Item Arrived Too Late,Rejected,0.0,
RMA-00271,14013,22483,2024-09-03,,,,Damaged in Shipping,Pending,0.0,
RMA-00272,18049,22795,2026-04-14,2026-04-17,2026-04-20,,Wrong Item Shipped,Received,178.35,
RMA-00273,16153,22216,2024-03-02,,,,Packaging Damaged,Pending,0.0,RMA label emailed to customer.
RMA-00274,13690,23607,2023-03-12,2023-03-14,2023-03-26,,Missing Parts,Received,78.05,
RMA-00275,15636,23913,2023-01-24,2023-01-25,2023-01-28,2023-01-31,Wrong Item Shipped,Completed,548.69,
RMA-00276,17121,23937,2024-05-02,2024-05-04,,,Not as Described,Approved,87.37,Replacement sent instead of refund.
RMA-00277,16999,24127,2022-12-11,2022-12-13,,,Item Arrived Too Late,Approved,400.83,
RMA-00278,19599,20647,2023-07-02,2023-07-04,,,Duplicate Order,Approved,332.57,Item received and inspected.
RMA-00279,15644,22964,2025-03-22,2025-03-26,,,Not as Described,Approved,183.4,Replacement sent instead of refund.
RMA-00280,19311,20570,2024-02-11,2024-02-12,,,Quality Not Acceptable,Approved,1447.15,RMA label emailed to customer.
RMA-00281,10608,24034,2024-10-22,2024-10-27,,,Defective Product,Approved,188.86,Escalated to manager.
RMA-00282,11798,22129,2024-12-18,2024-12-21,2025-01-04,2025-01-08,Damaged in Shipping,Completed,840.38,
RMA-00283,19008,20796,2026-04-14,2026-04-17,,,Damaged in Shipping,Approved,307.23,Escalated to manager.
RMA-00284,14924,23032,2025-07-16,2025-07-20,2025-07-29,2025-08-04,Defective Product,Completed,491.16,Awaiting return shipment.
RMA-00285,14749,24428,2026-02-17,,,,Item Arrived Too Late,Rejected,0.0,
RMA-00286,14592,22288,2023-05-21,2023-05-26,2023-05-31,2023-06-05,Wrong Item Shipped,Completed,442.64,Second review requested.
RMA-00287,14856,22267,2022-08-23,2022-08-27,,,Not as Described,Approved,310.4,Partial refund agreed upon.
RMA-00288,10861,23549,2026-07-20,2026-07-20,2026-07-20,2026-07-20,Not as Described,Completed,121.64,
RMA-00289,12074,24352,2022-12-20,2022-12-23,,,Wrong Item Shipped,Approved,850.06,Customer provided photos of damage.
RMA-00290,14031,24852,2025-04-12,2025-04-14,2025-04-27,,Quality Not Acceptable,Received,88.84,Customer provided photos of damage.
RMA-00291,10578,21914,2022-07-22,2022-07-24,,,Missing Parts,Approved,413.95,Item received and inspected.
RMA-00292,11008,21837,2025-07-08,2025-07-13,2025-07-27,,Wrong Item Shipped,Received,284.71,Partial refund agreed upon.
RMA-00293,11876,24185,2026-06-05,2026-06-10,2026-06-21,,Defective Product,Received,65.17,Forwarded to quality control.
RMA-00294,16506,24647,2023-06-09,2023-06-11,2023-06-21,2023-06-23,Missing Parts,Completed,1107.24,Refund issued to original payment method.
RMA-00295,20090,22576,2024-05-18,,,,Changed Mind,Rejected,0.0,
RMA-00296,14878,21081,2024-03-27,,,,Duplicate Order,Rejected,0.0,
RMA-00297,16044,23043,2024-07-13,,,,Packaging Damaged,Rejected,0.0,
RMA-00298,16196,23690,2023-04-06,,,,Defective Product,Pending,0.0,
RMA-00299,12371,20983,2024-08-07,2024-08-09,,,Changed Mind,Approved,989.89,Item received and inspected.
RMA-00300,11314,23207,2024-08-12,2024-08-16,2024-08-21,2024-08-25,Quality Not Acceptable,Completed,313.79,
RMA-00301,14476,21999,2022-02-13,2022-02-14,,,Changed Mind,Approved,1307.22,RMA label emailed to customer.
RMA-00302,19544,22809,2023-06-16,2023-06-20,2023-06-26,2023-06-30,Missing Parts,Completed,416.89,Partial refund agreed upon.
RMA-00303,19720,22898,2025-11-06,2025-11-11,2025-11-14,,Missing Parts,Received,1112.31,Escalated to manager.
RMA-00304,14075,23562,2023-10-23,2023-10-24,2023-10-31,2023-11-02,Duplicate Order,Completed,345.84,Partial refund agreed upon.
RMA-00305,17622,21111,2023-12-10,,,,Not as Described,Pending,0.0,Second review requested.
RMA-00306,14654,23838,2023-03-25,2023-03-30,2023-04-05,2023-04-07,Not as Described,Completed,93.83,
RMA-00307,15206,20251,2023-09-16,,,,Defective Product,Rejected,0.0,Replacement sent instead of refund.
RMA-00308,13622,24224,2024-03-31,2024-04-01,2024-04-05,2024-04-11,Not as Described,Completed,806.69,Replacement sent instead of refund.
RMA-00309,17931,20100,2022-10-27,2022-10-30,,,Quality Not Acceptable,Approved,29.95,
RMA-00310,14133,23828,2022-06-04,2022-06-08,,,Wrong Item Shipped,Approved,402.19,Awaiting return shipment.
RMA-00311,15990,21015,2024-11-23,2024-11-25,2024-11-28,,Duplicate Order,Received,56.22,Customer provided photos of damage.
RMA-00312,12522,21126,2025-07-21,2025-07-26,,,Changed Mind,Approved,952.29,Replacement sent instead of refund.
RMA-00313,16700,23938,2024-05-29,2024-06-03,2024-06-12,2024-06-16,Defective Product,Completed,379.37,Replacement sent instead of refund.
RMA-00314,11649,22921,2025-09-15,2025-09-18,2025-09-29,2025-10-01,Duplicate Order,Completed,57.42,Replacement sent instead of refund.
RMA-00315,15717,24856,2025-06-28,2025-07-03,2025-07-06,2025-07-09,Item Arrived Too Late,Completed,1497.26,
RMA-00316,19678,20945,2024-11-21,2024-11-24,2024-11-28,2024-12-01,Not as Described,Completed,138.12,Awaiting return shipment.
RMA-00317,19316,23438,2022-02-24,,,,Quality Not Acceptable,Rejected,0.0,Second review requested.
RMA-00318,18429,21874,2023-03-05,2023-03-07,,,Defective Product,Approved,58.09,Second review requested.
RMA-00319,18176,21911,2023-03-09,2023-03-14,2023-03-25,,Packaging Damaged,Received,1476.46,Item received and inspected.
RMA-00320,13082,24908,2022-06-16,2022-06-20,2022-06-28,2022-07-05,Duplicate Order,Completed,173.04,
RMA-00321,15743,24896,2024-02-06,,,,Missing Parts,Pending,0.0,Forwarded to quality control.
RMA-00322,18957,21599,2026-04-28,2026-05-02,2026-05-11,2026-05-16,Packaging Damaged,Completed,132.73,Partial refund agreed upon.
RMA-00323,14902,24821,2024-01-21,2024-01-23,,,Not as Described,Approved,433.88,
RMA-00324,15177,23952,2025-04-28,2025-05-03,,,Wrong Item Shipped,Approved,527.02,Item received and inspected.
RMA-00325,14047,24606,2023-05-04,,,,Defective Product,Rejected,0.0,
RMA-00326,16959,23978,2024-06-24,,,,Quality Not Acceptable,Rejected,0.0,
RMA-00327,16793,24985,2025-05-18,2025-05-19,,,Not as Described,Approved,54.46,Item received and inspected.
RMA-00328,19873,22775,2025-10-03,2025-10-08,2025-10-15,,Changed Mind,Received,245.18,Partial refund agreed upon.
RMA-00329,11176,21343,2022-06-28,,,,Changed Mind,Pending,0.0,
RMA-00330,16955,23658,2026-03-08,,,,Item Arrived Too Late,Pending,0.0,Item received and inspected.
RMA-00331,12395,20901,2026-07-16,2026-07-20,2026-07-20,2026-07-20,Changed Mind,Completed,1140.19,Customer provided photos of damage.
RMA-00332,12032,20716,2022-04-30,2022-05-05,,,Defective Product,Approved,1421.96,Partial refund agreed upon.
RMA-00333,11696,24992,2025-03-23,,,,Duplicate Order,Pending,0.0,Replacement sent instead of refund.
RMA-00334,14815,22663,2023-07-30,,,,Quality Not Acceptable,Rejected,0.0,
RMA-00335,16746,21061,2026-01-25,2026-01-29,,,Defective Product,Approved,102.92,RMA label emailed to customer.
RMA-00336,17946,22120,2022-07-31,,,,Wrong Item Shipped,Pending,0.0,Customer provided photos of damage.
RMA-00337,10761,20114,2023-03-02,2023-03-05,,,Damaged in Shipping,Approved,248.78,Refund issued to original payment method.
RMA-00338,12816,22754,2025-01-28,2025-02-01,2025-02-04,,Not as Described,Received,107.32,Refund issued to original payment method.
RMA-00339,12812,21595,2022-05-20,2022-05-21,2022-05-24,2022-05-27,Damaged in Shipping,Completed,28.02,Replacement sent instead of refund.
RMA-00340,18015,20643,2025-01-22,,,,Defective Product,Rejected,0.0,Replacement sent instead of refund.
RMA-00341,19824,24257,2026-03-25,,,,Item Arrived Too Late,Pending,0.0,Awaiting return shipment.
RMA-00342,11101,22266,2023-04-05,,,,Duplicate Order,Rejected,0.0,Item received and inspected.
RMA-00343,19300,22764,2024-01-23,2024-01-25,,,Defective Product,Approved,428.85,Item received and inspected.
RMA-00344,18929,22184,2024-12-18,2024-12-20,2024-12-28,2024-12-29,Missing Parts,Completed,76.89,Awaiting return shipment.
RMA-00345,19822,21284,2023-06-24,,,,Defective Product,Pending,0.0,Partial refund agreed upon.
RMA-00346,16293,22662,2022-06-13,2022-06-17,2022-06-26,2022-07-03,Defective Product,Completed,768.95,
RMA-00347,11391,21647,2024-08-16,2024-08-21,2024-08-25,2024-08-28,Missing Parts,Completed,125.05,RMA label emailed to customer.
RMA-00348,18795,23598,2023-05-21,,,,Not as Described,Pending,0.0,
RMA-00349,15482,24169,2024-11-30,2024-12-04,2024-12-13,,Quality Not Acceptable,Received,65.81,
RMA-00350,19276,23258,2025-08-20,2025-08-21,2025-08-24,2025-08-27,Quality Not Acceptable,Completed,365.51,
RMA-00351,19938,23312,2026-07-12,2026-07-15,2026-07-20,2026-07-20,Defective Product,Completed,305.6,Awaiting return shipment.
RMA-00352,13108,23235,2022-12-08,2022-12-12,2022-12-21,2022-12-27,Not as Described,Completed,74.0,Customer provided photos of damage.
RMA-00353,10553,23696,2023-03-05,2023-03-06,2023-03-13,,Not as Described,Received,374.23,Escalated to manager.
RMA-00354,18138,20920,2023-01-08,2023-01-13,,,Packaging Damaged,Approved,105.2,Replacement sent instead of refund.
RMA-00355,11285,20168,2023-12-15,2023-12-19,,,Packaging Damaged,Approved,413.43,Replacement sent instead of refund.
RMA-00356,15399,22113,2025-04-23,2025-04-27,,,Defective Product,Approved,151.27,Forwarded to quality control.
RMA-00357,10543,23957,2023-06-14,2023-06-16,2023-06-27,2023-06-28,Wrong Item Shipped,Completed,120.66,Second review requested.
RMA-00358,16864,23273,2022-07-30,2022-08-04,2022-08-11,2022-08-13,Defective Product,Completed,55.11,Replacement sent instead of refund.
RMA-00359,11886,21763,2025-05-10,2025-05-15,2025-05-20,2025-05-25,Duplicate Order,Completed,1411.63,Refund issued to original payment method.
RMA-00360,11447,22843,2022-08-08,2022-08-11,2022-08-19,2022-08-21,Changed Mind,Completed,249.24,Partial refund agreed upon.
RMA-00361,17402,20263,2025-04-20,2025-04-25,2025-05-05,2025-05-07,Changed Mind,Completed,29.98,
RMA-00362,13837,23474,2023-08-31,2023-09-04,,,Packaging Damaged,Approved,990.23,Partial refund agreed upon.
RMA-00363,18003,20520,2022-10-17,2022-10-18,,,Not as Described,Approved,128.0,
RMA-00364,20089,24948,2022-09-07,2022-09-08,2022-09-12,2022-09-15,Missing Parts,Completed,275.38,RMA label emailed to customer.
RMA-00365,14789,20941,2025-10-27,,,,Item Arrived Too Late,Pending,0.0,Second review requested.
RMA-00366,15049,20118,2022-05-10,2022-05-11,2022-05-25,,Changed Mind,Received,1357.66,Escalated to manager.
RMA-00367,13336,20770,2025-11-23,2025-11-24,2025-12-07,,Defective Product,Received,1265.51,
RMA-00368,10496,23956,2025-12-21,2025-12-23,2026-01-04,2026-01-08,Packaging Damaged,Completed,781.39,
RMA-00369,18115,23362,2022-08-20,,,,Defective Product,Pending,0.0,Item received and inspected.
RMA-00370,14026,24159,2025-05-22,2025-05-24,2025-05-31,,Missing Parts,Received,84.97,Second review requested.
RMA-00371,15506,22142,2024-04-28,,,,Not as Described,Rejected,0.0,Refund issued to original payment method.
RMA-00372,16608,23645,2026-01-13,2026-01-18,2026-01-24,,Quality Not Acceptable,Received,1140.06,
RMA-00373,13548,20316,2026-01-23,2026-01-25,2026-02-04,2026-02-08,Changed Mind,Completed,49.34,
RMA-00374,11036,21719,2024-09-03,2024-09-06,,,Changed Mind,Approved,266.45,Partial refund agreed upon.
RMA-00375,16867,21072,2023-03-22,2023-03-27,2023-04-08,2023-04-11,Damaged in Shipping,Completed,1051.31,
RMA-00376,12714,22088,2023-07-17,2023-07-21,2023-07-27,,Not as Described,Received,557.73,
RMA-00377,17181,20356,2022-06-14,2022-06-18,2022-06-26,2022-07-03,Packaging Damaged,Completed,348.18,Refund issued to original payment method.
RMA-00378,12233,23291,2022-03-09,,,,Missing Parts,Rejected,0.0,Awaiting return shipment.
RMA-00379,19585,24498,2024-10-16,2024-10-20,,,Changed Mind,Approved,115.82,
RMA-00380,15428,22227,2023-12-16,2023-12-20,2023-12-26,2023-12-29,Defective Product,Completed,395.58,Customer provided photos of damage.
RMA-00381,11084,24475,2024-09-06,2024-09-10,,,Quality Not Acceptable,Approved,709.71,RMA label emailed to customer.
RMA-00382,13481,21231,2022-04-30,2022-05-05,2022-05-14,2022-05-18,Not as Described,Completed,124.18,Second review requested.
RMA-00383,11042,24201,2024-04-09,2024-04-14,2024-04-20,,Damaged in Shipping,Received,74.98,Second review requested.
RMA-00384,10582,20957,2023-05-25,2023-05-27,,,Not as Described,Approved,424.23,Awaiting return shipment.
RMA-00385,12557,22700,2025-11-23,2025-11-24,,,Damaged in Shipping,Approved,1386.93,Awaiting return shipment.
RMA-00386,15232,21232,2022-12-25,2022-12-26,2023-01-03,,Changed Mind,Received,123.19,Forwarded to quality control.
RMA-00387,16499,24598,2024-02-01,2024-02-02,,,Item Arrived Too Late,Approved,1183.61,Refund issued to original payment method.
RMA-00388,18378,23037,2026-06-02,2026-06-04,,,Item Arrived Too Late,Approved,452.79,Partial refund agreed upon.
RMA-00389,19488,24332,2024-11-29,2024-11-30,2024-12-07,,Duplicate Order,Received,99.47,Awaiting return shipment.
RMA-00390,18873,21533,2023-12-09,2023-12-10,2023-12-13,2023-12-15,Damaged in Shipping,Completed,133.77,Awaiting return shipment.
RMA-00391,12525,24027,2026-04-20,2026-04-21,2026-04-24,,Damaged in Shipping,Received,276.07,Partial refund agreed upon.
RMA-00392,17591,21891,2025-11-01,2025-11-05,2025-11-18,2025-11-19,Quality Not Acceptable,Completed,887.85,RMA label emailed to customer.
RMA-00393,12171,24799,2025-12-21,2025-12-26,2026-01-07,2026-01-12,Duplicate Order,Completed,279.54,Customer provided photos of damage.
RMA-00394,13678,24947,2024-08-14,2024-08-16,2024-08-21,2024-08-27,Packaging Damaged,Completed,44.88,Partial refund agreed upon.
RMA-00395,16229,22156,2022-08-16,2022-08-20,2022-08-31,2022-09-06,Duplicate Order,Completed,190.97,RMA label emailed to customer.
RMA-00396,11672,20287,2025-09-27,,,,Item Arrived Too Late,Rejected,0.0,
RMA-00397,18891,22398,2022-02-15,2022-02-16,,,Wrong Item Shipped,Approved,146.72,
RMA-00398,19629,21991,2023-03-12,2023-03-16,2023-03-29,2023-03-30,Missing Parts,Completed,1193.68,Second review requested.
RMA-00399,12666,23811,2022-10-17,2022-10-19,2022-10-24,2022-10-28,Wrong Item Shipped,Completed,1209.49,Item received and inspected.
RMA-00400,14612,23124,2025-09-06,2025-09-10,,,Item Arrived Too Late,Approved,1337.29,Escalated to manager.
RMA-00401,12084,21701,2025-10-02,,,,Quality Not Acceptable,Rejected,0.0,Escalated to manager.
RMA-00402,16756,21377,2025-12-14,2025-12-18,,,Wrong Item Shipped,Approved,424.29,Forwarded to quality control.
RMA-00403,11124,23862,2022-06-06,2022-06-07,2022-06-14,2022-06-18,Not as Described,Completed,93.38,
RMA-00404,10878,23417,2025-01-17,2025-01-19,,,Duplicate Order,Approved,116.35,Partial refund agreed upon.
RMA-00405,20184,24739,2022-11-02,2022-11-03,,,Quality Not Acceptable,Approved,75.09,Escalated to manager.
RMA-00406,15339,20190,2025-09-03,2025-09-07,,,Missing Parts,Approved,340.03,Escalated to manager.
RMA-00407,13868,24900,2024-11-15,2024-11-16,2024-11-22,2024-11-26,Changed Mind,Completed,482.18,Item received and inspected.
RMA-00408,15649,22115,2026-03-10,2026-03-15,2026-03-29,,Not as Described,Received,496.34,Second review requested.
RMA-00409,16903,23958,2025-05-05,2025-05-06,,,Packaging Damaged,Approved,100.68,
RMA-00410,13328,24832,2025-02-09,2025-02-12,2025-02-15,2025-02-21,Quality Not Acceptable,Completed,442.59,RMA label emailed to customer.
RMA-00411,11633,22518,2026-07-20,2026-07-20,,,Packaging Damaged,Approved,300.96,
RMA-00412,15583,20400,2024-03-10,2024-03-14,,,Duplicate Order,Approved,275.0,
RMA-00413,11170,23581,2022-05-27,2022-05-31,2022-06-08,2022-06-14,Packaging Damaged,Completed,1213.15,Refund issued to original payment method.
RMA-00414,20066,21131,2025-09-19,2025-09-24,2025-09-30,2025-10-05,Changed Mind,Completed,146.12,Item received and inspected.
RMA-00415,13571,24215,2026-04-25,2026-04-26,2026-05-05,2026-05-11,Quality Not Acceptable,Completed,515.46,Forwarded to quality control.
RMA-00416,12787,22953,2024-05-09,2024-05-12,,,Defective Product,Approved,121.01,
RMA-00417,19686,23034,2023-06-18,2023-06-21,2023-07-01,2023-07-08,Defective Product,Completed,1483.97,Escalated to manager.
RMA-00418,11104,24313,2023-03-10,2023-03-15,,,Damaged in Shipping,Approved,1078.35,
RMA-00419,18507,24386,2026-03-11,,,,Packaging Damaged,Pending,0.0,Awaiting return shipment.
RMA-00420,14467,23077,2023-10-01,2023-10-02,2023-10-13,2023-10-19,Missing Parts,Completed,682.29,RMA label emailed to customer.
RMA-00421,13138,24065,2023-08-21,2023-08-22,2023-08-25,2023-08-26,Item Arrived Too Late,Completed,296.8,Refund issued to original payment method.
RMA-00422,16647,20049,2023-06-10,2023-06-14,2023-06-23,2023-06-28,Wrong Item Shipped,Completed,442.81,Escalated to manager.
RMA-00423,11562,21913,2025-09-28,2025-09-30,2025-10-04,,Damaged in Shipping,Received,55.82,Replacement sent instead of refund.
RMA-00424,17039,23493,2026-03-28,2026-04-01,2026-04-11,2026-04-18,Wrong Item Shipped,Completed,370.88,Second review requested.
RMA-00425,13721,22906,2022-05-19,,,,Wrong Item Shipped,Pending,0.0,Awaiting return shipment.
RMA-00426,13414,24162,2025-07-04,,,,Wrong Item Shipped,Pending,0.0,Forwarded to quality control.
RMA-00427,19552,21646,2025-11-21,2025-11-22,2025-11-25,,Packaging Damaged,Received,987.04,Forwarded to quality control.
RMA-00428,14056,24181,2024-04-28,2024-05-01,2024-05-07,2024-05-14,Damaged in Shipping,Completed,1002.18,
RMA-00429,11355,24084,2022-05-18,2022-05-23,2022-05-27,,Changed Mind,Received,67.72,
RMA-00430,13608,22363,2025-11-21,,,,Quality Not Acceptable,Pending,0.0,RMA label emailed to customer.
RMA-00431,19039,24530,2024-12-11,2024-12-15,,,Changed Mind,Approved,143.6,
RMA-00432,14348,22008,2023-04-26,,,,Missing Parts,Pending,0.0,Item received and inspected.
RMA-00433,17385,20273,2026-07-11,2026-07-16,,,Changed Mind,Approved,928.69,Partial refund agreed upon.
RMA-00434,17190,21984,2024-03-14,2024-03-16,,,Damaged in Shipping,Approved,126.6,
RMA-00435,12820,21529,2023-07-14,2023-07-15,,,Missing Parts,Approved,629.08,Refund issued to original payment method.
RMA-00436,11047,20498,2022-08-13,,,,Damaged in Shipping,Rejected,0.0,
RMA-00437,15183,24008,2026-06-10,,,,Wrong Item Shipped,Pending,0.0,RMA label emailed to customer.
RMA-00438,11659,23845,2023-07-22,,,,Wrong Item Shipped,Rejected,0.0,Partial refund agreed upon.
RMA-00439,17786,23843,2025-08-13,2025-08-16,,,Packaging Damaged,Approved,459.96,Partial refund agreed upon.
RMA-00440,18128,20830,2024-06-07,2024-06-08,2024-06-15,,Packaging Damaged,Received,134.27,
RMA-00441,12976,22554,2026-03-09,2026-03-12,,,Missing Parts,Approved,1259.0,Item received and inspected.
RMA-00442,16346,22077,2024-11-30,2024-12-04,2024-12-13,2024-12-16,Changed Mind,Completed,392.26,RMA label emailed to customer.
RMA-00443,11684,23146,2025-11-22,2025-11-27,2025-12-02,2025-12-09,Damaged in Shipping,Completed,1037.4,Item received and inspected.
RMA-00444,17530,21630,2024-07-05,2024-07-06,2024-07-17,2024-07-22,Quality Not Acceptable,Completed,606.83,Second review requested.
RMA-00445,16852,22317,2023-06-06,2023-06-11,2023-06-25,,Packaging Damaged,Received,117.46,Customer provided photos of damage.
RMA-00446,11845,22274,2025-12-07,2025-12-09,,,Missing Parts,Approved,455.09,
RMA-00447,18731,22348,2026-06-04,2026-06-06,2026-06-09,2026-06-12,Packaging Damaged,Completed,237.32,Second review requested.
RMA-00448,19972,21803,2024-07-05,,,,Defective Product,Pending,0.0,
RMA-00449,19150,23697,2026-07-03,2026-07-07,,,Defective Product,Approved,362.38,Forwarded to quality control.
RMA-00450,14315,24362,2024-10-04,,,,Quality Not Acceptable,Pending,0.0,RMA label emailed to customer.
RMA-00451,16355,24692,2022-03-07,2022-03-08,,,Duplicate Order,Approved,36.61,
RMA-00452,19852,22930,2023-10-14,2023-10-18,,,Item Arrived Too Late,Approved,406.45,Escalated to manager.
RMA-00453,14828,24905,2025-03-17,2025-03-20,,,Not as Described,Approved,1329.69,
RMA-00454,13098,20686,2025-10-08,2025-10-10,,,Missing Parts,Approved,35.1,Item received and inspected.
RMA-00455,12350,22149,2024-03-22,2024-03-23,2024-04-04,2024-04-05,Damaged in Shipping,Completed,464.9,Second review requested.
RMA-00456,14513,23846,2024-09-28,2024-10-02,2024-10-10,,Not as Described,Received,293.39,
RMA-00457,15362,23067,2026-04-24,2026-04-27,2026-05-11,2026-05-13,Quality Not Acceptable,Completed,759.4,Partial refund agreed upon.
RMA-00458,11276,20602,2025-09-20,,,,Not as Described,Rejected,0.0,Partial refund agreed upon.
RMA-00459,13698,24805,2025-04-05,,,,Duplicate Order,Rejected,0.0,Refund issued to original payment method.
RMA-00460,17005,24119,2024-02-07,2024-02-11,,,Defective Product,Approved,1314.59,Second review requested.
RMA-00461,15685,20753,2023-07-08,,,,Item Arrived Too Late,Pending,0.0,Awaiting return shipment.
RMA-00462,14033,21475,2023-02-26,2023-03-02,,,Duplicate Order,Approved,1279.37,Partial refund agreed upon.
RMA-00463,13818,22525,2024-10-17,2024-10-18,,,Damaged in Shipping,Approved,102.62,Refund issued to original payment method.
RMA-00464,12978,20201,2025-04-22,2025-04-23,2025-04-30,2025-05-04,Quality Not Acceptable,Completed,131.36,Escalated to manager.
RMA-00465,16232,23285,2024-06-18,,,,Defective Product,Pending,0.0,Replacement sent instead of refund.
RMA-00466,12470,20903,2022-04-26,,,,Item Arrived Too Late,Rejected,0.0,Customer provided photos of damage.
RMA-00467,10719,23698,2023-01-08,2023-01-09,2023-01-15,2023-01-18,Duplicate Order,Completed,50.25,
RMA-00468,14113,24514,2025-07-25,2025-07-29,2025-08-06,2025-08-09,Not as Described,Completed,1326.64,Item received and inspected.
RMA-00469,17115,23236,2023-02-18,,,,Missing Parts,Pending,0.0,
RMA-00470,16038,21548,2024-03-21,2024-03-25,2024-03-30,2024-04-01,Packaging Damaged,Completed,958.05,Forwarded to quality control.
RMA-00471,11998,22064,2024-05-23,2024-05-28,2024-05-31,,Packaging Damaged,Received,384.0,Forwarded to quality control.
RMA-00472,10567,20454,2025-12-20,2025-12-22,2025-12-26,,Damaged in Shipping,Received,328.64,
RMA-00473,16628,21019,2023-01-03,2023-01-06,2023-01-20,2023-01-24,Changed Mind,Completed,550.39,Replacement sent instead of refund.
RMA-00474,18704,21363,2025-11-16,2025-11-17,2025-11-26,2025-12-02,Packaging Damaged,Completed,554.65,Second review requested.
RMA-00475,19269,22532,2025-06-20,,,,Damaged in Shipping,Pending,0.0,
RMA-00476,15764,20447,2026-03-07,,,,Item Arrived Too Late,Pending,0.0,
RMA-00477,16112,24322,2024-10-02,,,,Item Arrived Too Late,Rejected,0.0,RMA label emailed to customer.
RMA-00478,17991,22793,2022-10-31,2022-11-02,2022-11-07,2022-11-10,Defective Product,Completed,451.97,Customer provided photos of damage.
RMA-00479,16401,21581,2024-12-11,2024-12-15,2024-12-26,,Wrong Item Shipped,Received,469.6,
RMA-00480,13866,22195,2024-12-30,,,,Wrong Item Shipped,Pending,0.0,Item received and inspected.
RMA-00481,12036,23772,2022-05-22,2022-05-24,2022-06-05,2022-06-08,Not as Described,Completed,1023.01,Refund issued to original payment method.
RMA-00482,18995,21485,2025-01-03,2025-01-07,2025-01-13,2025-01-17,Missing Parts,Completed,329.71,RMA label emailed to customer.
RMA-00483,17630,23677,2022-05-18,,,,Damaged in Shipping,Rejected,0.0,Awaiting return shipment.
RMA-00484,20028,20225,2022-05-18,,,,Packaging Damaged,Rejected,0.0,Awaiting return shipment.
RMA-00485,12346,20688,2023-06-25,2023-06-26,,,Changed Mind,Approved,1158.34,RMA label emailed to customer.
RMA-00486,15204,23342,2023-04-03,2023-04-04,,,Item Arrived Too Late,Approved,925.03,Awaiting return shipment.
RMA-00487,18038,23550,2024-06-27,2024-06-30,2024-07-14,,Item Arrived Too Late,Received,468.98,Customer provided photos of damage.
RMA-00488,19721,24980,2025-10-17,2025-10-19,2025-10-27,2025-11-02,Wrong Item Shipped,Completed,47.92,
RMA-00489,16534,21209,2025-12-11,2025-12-16,2025-12-27,,Packaging Damaged,Received,279.8,
RMA-00490,15374,22340,2023-09-18,,,,Quality Not Acceptable,Rejected,0.0,Awaiting return shipment.
RMA-00491,14346,22796,2023-07-04,,,,Defective Product,Rejected,0.0,RMA label emailed to customer.
RMA-00492,15817,23791,2024-04-13,2024-04-14,,,Changed Mind,Approved,419.65,
RMA-00493,19018,22479,2026-03-01,2026-03-04,,,Not as Described,Approved,949.02,Item received and inspected.
RMA-00494,14747,20574,2026-07-06,2026-07-10,2026-07-16,2026-07-17,Duplicate Order,Completed,209.46,RMA label emailed to customer.
